교회명,주소,담당 그룹
대흥교회,동해시 효자로 639,2청1진
동성교회,강원도 동해시 전천로 107 (이도동),2청1진
동해포도원교회,동해시 송정3길 1 2층,2청1진
수정교회,강원도 동해시 감추7길 53 (천곡동),2청1진
엘림교회,동해시 나안1길 13,2청1진
초당감리교회,강원특별자치도 강릉시 초당원길 38-4,2청1진
강문교회,강원도 강릉시 창해로350번길 37 (강문동),2청2진
동일교회,강원도 강릉시 경강로2267번길 29 (포남동),2청2진
벧엘교회,강원도 강릉시 월대산로 103번길 15,2청2진
언약의교회,강원도 강릉시 가작로303번길 1 (포남동),2청2진
웨이처치,강릉시 사천면 방동길 32,2청2진
다사랑교회,강원 강릉시 박월길99번길 14-8,2청3진
성덕교회,강원도 강릉시 강변로410번길 15 (입암동),2청3진
예수사랑교회,강원도 강릉시 명륜동 119 2층,2청3진
운산교회,강원도 강릉시 운산길 41-7 (운산동),2청3진
위촌리교회,강원도 강릉시 성산면 양지말길 42-8,2청3진
임마누엘순복음교회,강릉시 구정면 구정중앙로 223-12,2청3진
관동명성교회,강원도 삼척시 사직로 21 (사직동),2청4진
삼척남부교회,강원도 삼척시 오분길 84,2청4진
삼척중앙교회,강원도 삼척시 원당안길 17 (원당동),2청4진
선한교회,"강원도 삼척시 동해대로 4273 (교동, 동부아파트) 3층",2청4진
소명교회,강원도 삼척시 뒷나루길 35-18 (교동),2청4진
신기중앙교회,강원도 삼척시 신기면 신기역길 48-58,2청4진
강인교회,강원도 강릉시 강동면 율곡로 1925-25,2청5진
맑은샘교회,강원도 강릉시 월대산로15 2F 203호,2청5진
병산그리스도의 교회,강릉시 공항길 21-9,2청5진
새생명교회,강원도 강릉시 강동면 강동초교길 20,2청5진
어단우리교회,강원도 강릉시 구정면 금평로 486-4,2청5진
정동교회,강원도 강릉시 강동면 정동3길 5-7,2청5진
늘푸른교회,강원도 삼척시 정상안1길 14-26 (정상동),2청6진
동해흰돌교회,강원도 동해시 평원2길 18 (천곡동),2청6진
임마누엘교회(장로),강원특별자치도 동해시 향로4길 36(발한동),2청6진
임압동 순복음 교회,강원 강릉시 강중길 30,2청6진
정라진교회,강원도 삼척시 새천년도로 44-53 (정하동),2청6진
큰사랑순복음교회,강원도 동해시 효자로 572-2 아름다운아침아파트 상가 3층,2청6진
산계교회,강원도 강릉시 옥계면 석화동굴길 12,서울역사랑나눔부
기쁨의교회,강원도 강릉시 경강로2343번길 2-3 (포남동),청장년1진
동해새중앙교회,강원도 동해시 평릉길 20 (천곡동) 402호,청장년1진
소망감리교회,강원도 동해시 발한로 92 (발한동),청장년1진
대진교회,강원도 삼척시 근덕면 공양왕길 719,청장년2진
덕산교회,삼척시 근덕면 덕산리 275-5번지,청장년2진
삼척브니엘교회,삼척시 영진동길50,청장년2진
새힘교회,"강원도 동해시 발한로 109-1 (발한동) 2층, 3층",청장년3진
에덴교회,강원도 동해시 갈전길 40 (초구동),청장년3진
고양리교회,강원도 정선군 임계면 반천고양로 1468-7,청장년4진
한라소망교회,강원도 강릉시 옥계면 옥계로 895,청장년4진
한사랑교회,강원도 동해시 동문산1길 20 (발한동),청장년4진
강릉사랑교회,강원도 강릉시 노가니길 65-1 (노암동),청장년5진
산성그리스도의교회,강릉시 강동면 오이골말길 58-20,청장년5진
가평교회,강원도 삼척시 근덕면 문의재로 3009,청장년6진
문암교회,강원도 삼척시 근덕면 초곡2길 45,청장년6진
옥계장로교회,강원도 강릉시 옥계면 옥계로 1055,청장년6진
임계행복한교회,강원도 정선군 임계면 백두대간로 1317-21,대만연계
